epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.673,1.22639,2.82541,1.26234,0.01456,0.24028,0.01451,0.00295,3.70889,11.6666,2.9497,0.0964,0.0004,0.0004
2,398.879,2.00922,3.47884,1.90479,0.00054,0.02778,0.00028,6e-05,5.19519,4394.04,25.4496,0.0918911,0.00089109,0.00089109
3,603.194,2.27032,3.5046,2.02723,0.00054,0.02778,0.00028,6e-05,4.92154,8.27426e+14,2.01665e+12,0.0873723,0.00137228,0.00137228
4,804.947,2.48925,3.52192,2.66825,0.00054,0.02778,0.00028,6e-05,4.42167,1.35635e+17,2.20293e+13,0.0828436,0.00184357,0.00184357
5,1058.25,2.52777,3.33027,2.63059,0.00015,0.01389,9e-05,4e-05,4.24051,1.06679e+17,7.13635e+12,0.078305,0.00230496,0.00230496
6,1273.23,2.49974,3.09116,2.43033,0.00015,0.01389,9e-05,4e-05,4.39816,4.74727e+16,2.32003e+14,0.0737565,0.00275645,0.00275645
7,1476.79,2.44592,2.98988,2.31464,0.00015,0.01389,9e-05,3e-05,4.47231,7.23646e+17,5.01549e+14,0.069198,0.00319804,0.00319804
8,1681.13,2.18899,2.76081,2.2173,0.00019,0.01389,0.00037,4e-05,3.90842,9.1174e+17,7.98811e+14,0.0646297,0.00362973,0.00362973
9,1877.57,2.05422,2.67359,2.07908,0.00015,0.01389,0.0003,0.00012,4.51284,1.80696e+18,4.01328e+15,0.0600515,0.00405152,0.00405152
10,2072.16,2.35828,3.21808,2.39727,0.00015,0.01389,0.0003,0.00012,4.27209,7.46644e+16,2.66168e+14,0.0554634,0.00446341,0.00446341
11,2262.85,2.46804,3.06051,2.59676,0.00015,0.01389,0.0003,0.00012,4.43977,2.68534e+15,7.97522e+12,0.0508654,0.0048654,0.0048654
12,2451.95,2.28342,2.71236,2.33901,0.00015,0.01389,0.0003,0.00012,4.45849,8.49892e+13,2.15796e+11,0.0462575,0.00525749,0.00525749
13,2641.46,2.25801,2.57308,2.268,0.00015,0.01389,0.0003,0.00012,4.44109,1.5581e+13,3.6511e+10,0.0416397,0.00563968,0.00563968
14,2838.12,2.10204,2.41589,2.15806,0.0002,0.01389,0.00012,1e-05,4.45774,4.60879e+12,1.00485e+10,0.037012,0.00601197,0.00601197
15,3025.17,2.17209,2.32521,2.37481,0.0002,0.01389,0.00011,1e-05,4.45914,3.62318e+11,1.06553e+09,0.0323744,0.00637436,0.00637436
16,3211.71,2.26337,2.34526,2.31742,0.00027,0.02778,0.00027,3e-05,4.54767,8.37329e+10,3.81455e+08,0.0277268,0.00672685,0.00672685
17,3404.79,2.01125,2.29205,2.13159,0.0002,0.02778,0.00026,0.0001,4.43527,2.33362e+10,5.33362e+08,0.0230694,0.00706944,0.00706944
18,3605.27,2.02152,2.07192,2.07946,0.00061,0.02778,0.00111,0.00013,6.09534,3.55818e+10,4.34055e+08,0.0184021,0.00740213,0.00740213
19,3809.28,1.93072,2.25724,2.01785,0.0002,0.02778,0.00021,4e-05,4.28831,3.88046e+09,1.01711e+08,0.0137249,0.00772492,0.00772492
20,4010.34,2.04176,2.32034,2.18088,0.00015,0.01389,9e-05,2e-05,4.24316,7.34092e+09,3.09504e+07,0.00903781,0.00803781,0.00803781
21,4212.44,2.07793,2.29634,2.25673,0.00015,0.01389,9e-05,2e-05,4.24316,7.0093e+09,1.57407e+07,0.00802,0.00802,0.00802
22,4410.59,1.9472,2.22002,2.06572,0.00015,0.01389,9e-05,1e-05,4.13219,5.46173e+09,1.31429e+07,0.007921,0.007921,0.007921
23,4606.57,1.79617,1.91583,1.87492,0.00029,0.02778,0.0002,3e-05,3.87892,4.38453e+09,1.02698e+07,0.007822,0.007822,0.007822
24,4810.14,1.87834,2.06398,2.00891,0.00021,0.01389,0.00014,1e-05,3.94303,4.02493e+08,928446,0.007723,0.007723,0.007723
25,5010.51,1.81418,1.92596,1.99848,0.00021,0.01389,0.00014,1e-05,3.73213,4.89974e+08,475221,0.007624,0.007624,0.007624
26,5213.62,1.87875,2.07643,1.9562,0.00021,0.01389,0.00014,1e-05,3.84836,9.64897e+07,162339,0.007525,0.007525,0.007525
27,5413.44,1.97195,2.02831,1.93103,0.00021,0.01389,0.00014,1e-05,4.00135,1.28701e+07,51866.1,0.007426,0.007426,0.007426
28,5609.95,1.84049,1.92668,1.89615,0.00021,0.01389,0.00014,1e-05,0,2.92195e+06,0,0.007327,0.007327,0.007327
29,5807.8,1.75622,1.87164,1.89614,0.00021,0.01389,0.00014,1e-05,0,33582,0,0.007228,0.007228,0.007228
30,6007.01,1.76299,1.76056,1.75047,0.00021,0.01389,0.00014,1e-05,1.04769,176.707,81.8167,0.007129,0.007129,0.007129
31,6211.55,1.80688,1.80688,1.94443,0.00021,0.01389,0.00014,1e-05,0,0,0,0.00703,0.00703,0.00703
32,6416.55,1.77785,1.68851,1.82234,0.53054,0.025,0.006,0.00195,3.85375,15.2034,4.15382,0.006931,0.006931,0.006931
33,6614.78,1.69424,1.71648,1.77268,0.28409,0.025,0.01132,0.0028,3.85032,20.2582,4.92617,0.006832,0.006832,0.006832
34,6815.07,1.72466,1.76927,1.93087,0.0196,0.2125,0.02128,0.00574,3.90987,12.4393,4.98108,0.006733,0.006733,0.006733
35,7018.2,1.70485,1.66181,1.78551,0.25,0.18743,0.19119,0.08631,3.37799,16.1375,4.416,0.006634,0.006634,0.006634
36,7219.32,1.86135,1.93055,1.95279,0.20559,0.35709,0.25303,0.10654,2.69306,31.7074,3.06457,0.006535,0.006535,0.006535
37,7409.41,1.51903,1.50703,1.70004,0.28404,0.40208,0.31528,0.11174,2.61926,28.631,2.91684,0.006436,0.006436,0.006436
38,7604.93,1.6431,1.67342,1.69231,0.23848,0.33542,0.30784,0.09017,2.48882,21.0806,2.8731,0.006337,0.006337,0.006337
39,7801.45,1.62299,1.49872,1.71416,0.24559,0.25377,0.23513,0.08164,2.65921,20.244,3.25336,0.006238,0.006238,0.006238
40,8000.23,1.46564,1.50755,1.63348,0.26406,0.38056,0.28047,0.15629,2.06614,23.5276,2.43087,0.006139,0.006139,0.006139
41,8203.26,1.50432,1.46518,1.73233,0.42002,0.39444,0.31465,0.16634,2.07282,19.1238,2.4823,0.00604,0.00604,0.00604
42,8409.33,1.56262,1.49159,1.65388,0.16176,0.40833,0.21686,0.09341,2.34932,25.3941,2.71137,0.005941,0.005941,0.005941
