epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.318,1.70215,3.82742,1.62617,0,0,0,0,3.19882,4.72473,3.20478,0.0973,0.0003,0.0003
2,643.119,2.27043,3.89564,2.3097,0,0,0,0,0,0,0,0.0936931,0.00069307,0.00069307
3,964.784,2.88544,3.92705,2.81082,0.001,0.05882,0.00086,0.00026,5.56478,2.36857e+16,2.35076e+15,0.0900782,0.00107822,0.00107822
4,1289.67,3.34038,3.83504,3.08898,0.001,0.05882,0.00086,0.00026,0,0,0,0.0864555,0.00145545,0.00145545
5,1609.07,3.30901,3.71286,3.16994,0.001,0.05882,0.00086,0.00026,0,2.71053e+17,0,0.0828248,0.00182476,0.00182476
6,1927.19,3.08293,3.50946,3.00531,0.001,0.05882,0.00086,0.00026,0,0,0,0.0791862,0.00218615,0.00218615
7,2245.79,3.15252,3.46941,3.0554,0.001,0.05882,0.00086,0.00026,0,1.59154e+18,0,0.0755396,0.00253962,0.00253962
8,2561.89,3.11898,3.57842,3.03935,0.001,0.05882,0.00086,0.00026,5.16091,2.63827e+23,6.41016e+20,0.0718852,0.00288517,0.00288517
9,2886.81,3.02703,3.27206,3.11829,0.00063,0.17647,0.00043,0.00015,4.39354,4.05949e+22,1.03734e+20,0.0682228,0.0032228,0.0032228
10,3202.35,2.95915,2.93054,3.0886,0.00083,0.23529,0.00114,0.00027,4.59413,3.10262e+22,6.78315e+18,0.0645525,0.00355251,0.00355251
11,3514.31,2.98697,2.89052,2.91914,0.00083,0.23529,0.00114,0.00027,0,5.33685e+20,0,0.0608743,0.0038743,0.0038743
12,3839.46,2.83087,2.7714,2.76594,0.00083,0.23529,0.00114,0.00027,0,2.91318e+19,0,0.0571882,0.00418817,0.00418817
13,4156.81,2.82901,2.50278,2.89567,0.00083,0.23529,0.00114,0.00027,0,1.20455e+18,0,0.0534941,0.00449412,0.00449412
14,4463.41,2.80617,2.62993,2.78381,0.00083,0.23529,0.00114,0.00027,0,3.18118e+16,0,0.0497922,0.00479215,0.00479215
15,4779.65,2.67284,2.49454,2.75029,0.00083,0.23529,0.00114,0.00027,0,6.58026e+12,0,0.0460823,0.00508226,0.00508226
16,5102.68,2.69162,2.65854,2.81645,0.00083,0.23529,0.00114,0.00027,0,7.698e+12,0,0.0423644,0.00536445,0.00536445
17,5411.53,2.69628,2.48479,2.76788,0.00042,0.11765,0.00026,0.00015,4.18086,4.30628e+12,7.3486e+09,0.0386387,0.00563872,0.00563872
18,5724.25,2.70756,2.53905,2.76064,0.00042,0.11765,0.00026,0.00015,4.17987,4.70469e+13,1.24778e+12,0.0349051,0.00590507,0.00590507
19,6038.45,2.61857,2.41847,2.77127,0.00083,0.23529,0.00058,0.00025,4.23252,3.44723e+13,4.24849e+11,0.0311635,0.0061635,0.0061635
20,6352.5,2.65788,2.6792,2.82242,0.00125,0.35294,0.00114,0.00036,4.23252,2.44777e+13,2.29827e+11,0.027414,0.00641401,0.00641401
21,6659.26,2.40283,2.33325,2.56775,0.00125,0.35294,0.00114,0.00036,0,1.37029e+12,0,0.0236566,0.0066566,0.0066566
22,6982.75,2.57586,2.50371,2.62423,0.00125,0.35294,0.00114,0.00036,0,4.05417e+09,0,0.0198913,0.00689127,0.00689127
23,7298.9,2.54813,2.47379,2.63278,0.00125,0.35294,0.00114,0.00036,0,1.98661e+09,0,0.016118,0.00711802,0.00711802
24,7611.32,2.46001,2.37923,2.57006,0.00125,0.35294,0.00114,0.00036,0,5.55423e+09,0,0.0123368,0.00733685,0.00733685
25,7921.92,2.20007,2.26015,2.40657,0.00125,0.35294,0.00114,0.00036,0,4.16386e+09,0,0.00854776,0.00754776,0.00754776
26,8243.87,2.40855,2.24432,2.58277,0.00125,0.35294,0.00114,0.00036,0,1.20508e+08,0,0.007525,0.007525,0.007525
27,8552.75,2.32049,2.13898,2.53184,0.00125,0.35294,0.00114,0.00036,0,0,0,0.007426,0.007426,0.007426
28,8865.83,2.49512,2.40559,2.73568,0.00125,0.35294,0.00114,0.00036,0,0,0,0.007327,0.007327,0.007327
29,9195.2,2.50446,2.41197,2.64346,0.00125,0.35294,0.00114,0.00036,0,0,0,0.007228,0.007228,0.007228
30,9513.8,2.29241,2.19327,2.55833,0.00125,0.35294,0.00114,0.00036,0,0,0,0.007129,0.007129,0.007129
31,9826.17,2.3123,2.07159,2.48885,0.00125,0.35294,0.00114,0.00036,0,0,0,0.00703,0.00703,0.00703
32,10144.8,2.26314,2.23824,2.52616,0.00125,0.35294,0.00114,0.00036,0,0,0,0.006931,0.006931,0.006931
33,10465.3,2.26286,2.24932,2.48254,0.00125,0.35294,0.00114,0.00036,0,0,0,0.006832,0.006832,0.006832
34,10784.8,2.22771,2.10372,2.42652,0.00125,0.35294,0.00114,0.00036,0,0,0,0.006733,0.006733,0.006733
35,11103.5,2.37428,2.1775,2.49265,0.00125,0.35294,0.00114,0.00036,0,0,0,0.006634,0.006634,0.006634
36,11424.4,2.33776,2.02412,2.4583,0.00125,0.35294,0.00114,0.00036,0,0.04065,0,0.006535,0.006535,0.006535
37,11736.5,2.25371,2.12734,2.41466,0.00125,0.35294,0.00114,0.00036,5.03213,32.0639,5.59137,0.006436,0.006436,0.006436
38,12049.3,2.06342,2.00826,2.28653,0.01799,0.05882,0.01239,0.00248,3.31595,337.339,3.78448,0.006337,0.006337,0.006337
39,12378.5,2.0602,2.01222,2.34571,0.1229,0.05882,0.0155,0.00551,3.06841,21.5766,5.60332,0.006238,0.006238,0.006238
40,12697.7,2.23458,2.13717,2.41008,0.02184,0.05882,0.00603,0.00232,2.91389,39.9334,5.32436,0.006139,0.006139,0.006139
41,13010.7,2.21404,1.97712,2.3733,0.25614,0.17647,0.09378,0.0214,2.70189,40.7426,4.15825,0.00604,0.00604,0.00604
42,13328.5,2.20549,2.02733,2.36554,0.27183,0.30796,0.20312,0.0654,2.28832,33.0091,3.1257,0.005941,0.005941,0.005941
43,13647.2,2.03725,1.84361,2.24106,0.36136,0.29412,0.24765,0.06442,2.2667,14.6988,2.95271,0.005842,0.005842,0.005842
44,13961.6,2.14579,2.09264,2.37879,0.27767,0.41176,0.25678,0.08116,2.29321,18.2086,2.83307,0.005743,0.005743,0.005743
45,14266.7,2.02306,1.94614,2.30181,0.6366,0.47059,0.42764,0.10167,2.4162,35.8205,3.00126,0.005644,0.005644,0.005644
46,14596.4,2.19022,1.98946,2.50093,0.17508,0.23529,0.21706,0.04699,2.61003,88.4814,3.33359,0.005545,0.005545,0.005545
47,14909.5,2.2001,2.01386,2.39344,0.09042,0.23529,0.11098,0.03433,2.47367,129.456,3.25929,0.005446,0.005446,0.005446
48,15217.6,2.02949,1.8783,2.23136,0.03896,0.11765,0.03401,0.01039,2.36374,101.811,2.92965,0.005347,0.005347,0.005347
49,15536.2,2.06434,1.96975,2.305,0.05597,0.11765,0.0268,0.00986,2.27267,60.7171,2.79971,0.005248,0.005248,0.005248
50,15851,1.99399,1.92669,2.33306,0.04599,0.05882,0.04228,0.01369,2.17818,45.254,2.75225,0.005149,0.005149,0.005149
51,16164.2,1.96212,1.70502,2.08407,0.24636,0.23529,0.1176,0.03919,2.15071,34.3664,2.82551,0.00505,0.00505,0.00505
52,16480,1.95029,1.68228,2.20166,0.36843,0.29412,0.2244,0.08128,2.04909,18.0543,2.74274,0.004951,0.004951,0.004951
