epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1729,1.65525,3.53642,1.34577,0.00313,0.88235,0.04648,0.01141,2.42752,3.87864,1.78482,0.0973,0.0003,0.0003
2,59.3941,1.81486,2.96813,1.45174,0.00313,0.88235,0.04432,0.00763,2.79022,3.81001,2.12417,0.0936931,0.00069307,0.00069307
3,86.4945,1.65238,2.11969,1.48136,0.00333,0.94118,0.05441,0.022,2.23971,3.60479,1.83278,0.0900782,0.00107822,0.00107822
4,113.672,1.86586,2.3855,1.68298,0.00438,0.64706,0.01362,0.00434,2.45815,3.78999,2.15124,0.0864555,0.00145545,0.00145545
5,140.436,1.96842,2.13027,1.77181,0.0038,0.47059,0.00677,0.00234,2.56149,4.09234,2.74444,0.0828248,0.00182476,0.00182476
6,167.378,1.87489,1.93814,1.70418,0.01834,0.05882,0.00916,0.00144,2.84044,4.51114,4.86095,0.0791862,0.00218615,0.00218615
7,194.472,1.87805,1.86419,1.63849,0.67705,0.05882,0.05653,0.01692,2.88929,5.96899,5.16702,0.0755396,0.00253962,0.00253962
8,221.838,1.81123,1.90229,1.65241,0.00042,0.05882,0.00024,2e-05,3.11981,14.1114,5.1394,0.0718852,0.00288517,0.00288517
9,249.217,1.8398,1.77616,1.67263,0.00085,0.23529,0.00054,0.00015,3.33264,35.8214,6.77964,0.0682228,0.0032228,0.0032228
10,276.518,1.87174,1.66648,1.75957,0.00259,0.17647,0.00094,0.00025,3.60791,218.976,13.4526,0.0645525,0.00355251,0.00355251
11,303.776,1.89458,1.6507,1.69972,0.00103,0.17647,0.0006,0.00014,4.04976,617.789,17.7402,0.0608743,0.0038743,0.0038743
12,331.311,2.02694,1.76531,1.73465,0.00081,0.11765,0.0003,0.00011,3.60533,329.814,7.94794,0.0571882,0.00418817,0.00418817
13,358.938,1.8429,1.66298,1.63247,0.00068,0.17647,0.0004,0.00011,3.76742,1465.21,10.7465,0.0534941,0.00449412,0.00449412
14,386.435,1.82487,1.62539,1.62526,0.00141,0.35294,0.00156,0.0003,4.2926,1601.05,20.6038,0.0497922,0.00479215,0.00479215
15,414.046,1.78605,1.64518,1.60687,0.00325,0.23529,0.00153,0.0004,3.89043,1493.55,13.1035,0.0460823,0.00508226,0.00508226
16,441.701,1.75472,1.63571,1.64632,0.00191,0.17647,0.00114,0.00032,3.19269,1366.81,12.5886,0.0423644,0.00536445,0.00536445
17,469.235,1.73388,1.48141,1.50357,0.00166,0.35294,0.00113,0.00037,3.4472,2047.98,18.0788,0.0386387,0.00563872,0.00563872
18,496.707,1.87802,1.5554,1.58738,0.00111,0.17647,0.00088,0.00033,3.72791,4477.51,40.7586,0.0349051,0.00590507,0.00590507
19,524.192,1.70708,1.50479,1.49794,0.00188,0.52941,0.00161,0.00044,3.35036,3115.77,23.9156,0.0311635,0.0061635,0.0061635
20,551.228,1.83254,1.47621,1.70396,0.0019,0.41176,0.00133,0.00041,3.59956,1434.41,28.942,0.027414,0.00641401,0.00641401
21,578.918,1.62248,1.39344,1.51176,0.00146,0.41176,0.00103,0.0003,3.44295,2530.75,44.1375,0.0236566,0.0066566,0.0066566
22,606.649,1.75656,1.55681,1.62393,0.00151,0.35294,0.00099,0.00024,3.71534,1814.32,32.8106,0.0198913,0.00689127,0.00689127
23,634.278,1.79975,1.47149,1.62664,0.00155,0.05882,0.0013,0.00046,3.60716,1272.33,16.5598,0.016118,0.00711802,0.00711802
24,661.959,1.78493,1.53175,1.57036,0.00173,0.47059,0.00158,0.00045,3.34973,1384.84,12.3986,0.0123368,0.00733685,0.00733685
25,690.652,1.62775,1.41361,1.43451,0.00164,0.05882,0.00136,0.00038,2.90931,1211.89,8.22186,0.00854776,0.00754776,0.00754776
26,718.235,1.58809,1.44891,1.4496,0.00248,0.11765,0.00135,0.00045,2.80026,1682.92,8.84755,0.007525,0.007525,0.007525
27,745.644,1.61046,1.31937,1.51455,0.00187,0.52941,0.00158,0.00056,2.90476,3159.3,10.411,0.007426,0.007426,0.007426
28,772.782,1.60689,1.28797,1.49609,0.00168,0.23529,0.00135,0.00033,2.91146,2654.64,8.78218,0.007327,0.007327,0.007327
29,800.099,1.66401,1.33449,1.45648,0.00104,0.29412,0.00086,0.00023,2.85606,2540.63,7.49182,0.007228,0.007228,0.007228
30,827.524,1.50256,1.27423,1.43307,0.00125,0.35294,0.00107,0.00043,2.70982,1452.7,7.10769,0.007129,0.007129,0.007129
31,854.694,1.66946,1.30385,1.51377,0.00167,0.47059,0.00142,0.00047,2.62178,1149.29,6.65594,0.00703,0.00703,0.00703
32,881.805,1.48016,1.16129,1.44551,0.00197,0.52941,0.00159,0.00056,2.81476,789.096,6.38758,0.006931,0.006931,0.006931
33,908.863,1.5893,1.14625,1.44069,0.00169,0.47059,0.00124,0.00056,2.43285,812.128,5.20746,0.006832,0.006832,0.006832
34,935.94,1.55669,1.16198,1.45519,0.00247,0.64706,0.00211,0.00093,2.35386,454.562,4.13036,0.006733,0.006733,0.006733
35,963.215,1.56407,1.2978,1.44433,0.00643,0.52941,0.00574,0.00229,2.3128,149.038,3.13618,0.006634,0.006634,0.006634
36,990.614,1.48855,1.17228,1.39701,0.01367,0.11765,0.00952,0.00355,2.23323,67.955,2.58652,0.006535,0.006535,0.006535
37,1017.63,1.41928,1.18762,1.32128,0.09252,0.64706,0.11075,0.0376,2.1701,27.7973,2.31128,0.006436,0.006436,0.006436
38,1044.85,1.34929,1.09792,1.2641,0.26398,0.29412,0.24033,0.09687,2.11429,21.2935,2.1874,0.006337,0.006337,0.006337
39,1072.19,1.40264,1.09046,1.34065,0.47133,0.31584,0.30386,0.13173,1.95642,17.3141,2.01,0.006238,0.006238,0.006238
40,1099.28,1.43515,1.14419,1.31321,0.85339,0.34366,0.41968,0.20631,1.8463,12.5806,1.86117,0.006139,0.006139,0.006139
