epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17706.2,1.00256,0.78976,1.14429,0.7963,0.77273,0.8247,0.56729,1.15397,1.2123,1.43985,0.005941,0.005941,0.005941
43,18108.2,0.95147,0.75047,1.13193,0.86602,0.72987,0.80608,0.61125,1.00478,1.33116,1.32396,0.005842,0.005842,0.005842
44,18503.2,0.9808,0.75839,1.12115,0.72929,0.72263,0.81755,0.60577,1.09518,1.30296,1.37929,0.005743,0.005743,0.005743
45,18897.1,0.97499,0.75845,1.12629,0.82002,0.84307,0.88409,0.62352,1.13289,1.04122,1.3722,0.005644,0.005644,0.005644
46,19297.7,0.99729,0.72631,1.13065,0.93685,0.86874,0.90842,0.67167,1.10148,0.84457,1.3524,0.005545,0.005545,0.005545
47,19698.9,0.93728,0.69718,1.09433,0.94882,0.85823,0.92115,0.6648,1.12336,0.79019,1.36988,0.005446,0.005446,0.005446
48,20091.8,0.94119,0.7246,1.11876,0.89984,0.81384,0.91022,0.71106,1.03739,0.79681,1.2974,0.005347,0.005347,0.005347
49,20489.1,0.98211,0.719,1.11484,0.96101,0.81169,0.90278,0.66711,1.02923,0.82504,1.30136,0.005248,0.005248,0.005248
50,20888.5,0.96057,0.72507,1.10465,0.86127,0.85823,0.89312,0.65002,1.08225,0.90511,1.38187,0.005149,0.005149,0.005149
51,21312,0.95988,0.72615,1.12912,0.96473,0.83619,0.87789,0.62966,1.06033,0.7889,1.34072,0.00505,0.00505,0.00505
52,21718.9,0.92556,0.66666,1.09044,0.85463,0.80411,0.84942,0.57257,1.10524,0.9214,1.43028,0.004951,0.004951,0.004951
53,22118.2,0.90589,0.66761,1.10288,0.84311,0.88021,0.87729,0.65838,0.97579,0.79433,1.29289,0.004852,0.004852,0.004852
54,22517.7,0.85449,0.65565,1.08181,0.93643,0.8533,0.90006,0.64801,0.96662,0.73903,1.29188,0.004753,0.004753,0.004753
55,22914.7,0.88592,0.6364,1.0825,0.86309,0.80884,0.87557,0.62188,1.05383,0.73352,1.34455,0.004654,0.004654,0.004654
56,23311,0.88789,0.65517,1.09829,0.9268,0.85823,0.89773,0.6719,0.92409,0.71168,1.3006,0.004555,0.004555,0.004555
57,23711.2,0.89025,0.62819,1.06798,0.93256,0.8656,0.89554,0.63797,1.07215,0.72746,1.33034,0.004456,0.004456,0.004456
58,24108.2,0.85823,0.62704,1.03452,0.93157,0.85065,0.8992,0.69645,0.92578,0.71376,1.23993,0.004357,0.004357,0.004357
59,24502.7,0.86386,0.64415,1.05842,0.95741,0.82035,0.89712,0.68464,0.88627,0.7471,1.22823,0.004258,0.004258,0.004258
60,24902.6,0.90246,0.64163,1.07942,0.93307,0.83528,0.91611,0.70053,0.83977,0.63467,1.17585,0.004159,0.004159,0.004159
61,25304,0.86615,0.6063,1.04241,0.96527,0.85065,0.90668,0.71991,0.83836,0.65861,1.20044,0.00406,0.00406,0.00406
62,25724.4,0.84326,0.63336,1.05519,0.94912,0.83975,0.88511,0.66353,1.00452,0.75362,1.31109,0.003961,0.003961,0.003961
63,26151.3,0.86048,0.64915,1.0562,0.89689,0.85931,0.89547,0.69139,0.91043,0.77417,1.2135,0.003862,0.003862,0.003862
64,26580,0.83364,0.61617,1.03837,0.87785,0.86565,0.89447,0.69012,0.87129,0.70572,1.22221,0.003763,0.003763,0.003763
65,27002.7,0.83412,0.63073,1.04985,0.86103,0.8658,0.90372,0.68439,0.84203,0.67727,1.16987,0.003664,0.003664,0.003664
66,27431,0.79155,0.58786,1.03126,0.92813,0.85927,0.89697,0.67986,0.8514,0.69515,1.18603,0.003565,0.003565,0.003565
67,27859.1,0.79384,0.57872,1.00319,0.88964,0.83808,0.87575,0.69397,0.83858,0.69124,1.17217,0.003466,0.003466,0.003466
68,28295,0.82455,0.59495,1.05477,0.93142,0.85162,0.90159,0.68633,0.90305,0.65903,1.19911,0.003367,0.003367,0.003367
