epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1281.98,1.33396,1.06836,1.34542,0.59448,0.50949,0.58633,0.28991,1.67396,7.60902,1.584,0.005842,0.005842,0.005842
44,1311.71,1.18048,0.99726,1.1821,0.60489,0.62388,0.60555,0.31702,1.56602,4.91735,1.47845,0.005743,0.005743,0.005743
45,1341.8,1.23543,1.05431,1.21347,0.68853,0.73445,0.81336,0.47745,1.38407,3.22362,1.32534,0.005644,0.005644,0.005644
46,1372.14,1.25966,1.13638,1.29946,0.69808,0.68655,0.83713,0.50877,1.40087,2.61391,1.35321,0.005545,0.005545,0.005545
47,1401.65,1.24465,1.17424,1.26216,0.48394,0.84331,0.76215,0.46183,1.46055,2.74341,1.38871,0.005446,0.005446,0.005446
48,1431.4,1.14763,1.03239,1.15402,0.61058,0.86181,0.8672,0.48441,1.40358,3.56521,1.31406,0.005347,0.005347,0.005347
49,1461.2,1.27087,1.11939,1.23787,0.69151,0.82957,0.94208,0.50433,1.36191,3.02136,1.27547,0.005248,0.005248,0.005248
50,1490.69,1.17873,0.98309,1.14845,0.79561,0.76163,0.92527,0.51106,1.3879,2.45882,1.31812,0.005149,0.005149,0.005149
51,1520.26,1.19603,0.98723,1.18945,0.70869,0.82577,0.90952,0.502,1.45198,2.25726,1.32037,0.00505,0.00505,0.00505
52,1550.61,1.13274,0.95478,1.15873,0.6718,0.74209,0.80298,0.44087,1.54022,1.79038,1.33308,0.004951,0.004951,0.004951
53,1579.84,1.1229,0.94081,1.12764,0.79314,0.85229,0.92948,0.58006,1.35328,1.36791,1.26849,0.004852,0.004852,0.004852
54,1609.54,1.02475,0.88333,1.08714,0.84907,0.92889,0.96119,0.60677,1.29943,1.12866,1.22467,0.004753,0.004753,0.004753
55,1639,1.1024,1.00139,1.14872,0.84923,0.89888,0.96004,0.60741,1.28406,1.0056,1.20568,0.004654,0.004654,0.004654
56,1668.64,1.06504,0.97923,1.13412,0.92282,0.80797,0.94578,0.59853,1.38541,1.02429,1.2712,0.004555,0.004555,0.004555
57,1698.23,1.0857,0.91988,1.09802,0.84291,0.8536,0.93582,0.53038,1.45736,1.07826,1.32871,0.004456,0.004456,0.004456
58,1727.99,1.02151,0.81542,1.06884,0.89668,0.75834,0.90181,0.51005,1.49782,1.17489,1.35536,0.004357,0.004357,0.004357
59,1757.38,1.05862,0.87449,1.0958,0.86178,0.7547,0.85795,0.5248,1.43987,1.2021,1.33427,0.004258,0.004258,0.004258
60,1786.74,1.18052,0.91463,1.16064,0.71975,0.8306,0.83643,0.51711,1.27033,1.22499,1.21832,0.004159,0.004159,0.004159
61,1816.23,1.11462,0.95711,1.13427,0.73576,0.88624,0.89728,0.55922,1.2768,1.08164,1.20711,0.00406,0.00406,0.00406
62,1845.91,1.04741,0.83084,1.10414,0.85415,0.879,0.93711,0.59075,1.22261,0.96123,1.18611,0.003961,0.003961,0.003961
63,1875.41,1.11731,0.92903,1.09635,0.85379,0.85126,0.93458,0.59632,1.18914,0.94759,1.17216,0.003862,0.003862,0.003862
64,1905.2,1.13438,0.90624,1.09973,0.83982,0.90341,0.92297,0.58092,1.18197,0.97954,1.16627,0.003763,0.003763,0.003763
65,1934.57,1.09526,0.89466,1.13943,0.86016,0.91416,0.92934,0.58243,1.23281,0.94453,1.17632,0.003664,0.003664,0.003664
66,1963.94,0.97838,0.79808,1.08973,0.94397,0.91604,0.95253,0.59023,1.23572,0.88842,1.17621,0.003565,0.003565,0.003565
67,1993.75,0.96534,0.78103,1.03896,0.90118,0.94722,0.95376,0.59327,1.22753,0.87979,1.18286,0.003466,0.003466,0.003466
68,2023.14,1.00062,0.89103,1.07113,0.90891,0.90019,0.95137,0.64698,1.17072,0.90412,1.11477,0.003367,0.003367,0.003367
